White_dwarf_name,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,astrometric_excess_noise,astrometric_sigma5d_max,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,l,b,bp_rp,M_G,bp_rp_error,M_G_error,age_H_f,mass_H_f,age_H_o,mass_H_o,age_He_f,mass_He_f,age_He_o,mass_He_o,vL_no_correction,vB_no_correction,vL_paper,vB_paper,vL_vsun_subtracted,vB_vsun_subtracted,vL_centered,vB_centered,MWDD_spectype,MWDD_wdid,MWDD_wdname,MWDD_ismag,region on HRD
WDJ065355.03-562447.16,5484935887129131648,103.47933501564103,-56.412979768985046,8.300065189025775,0.0642309963865955,5.753614945056163,27.98227077344255,0.29416763579383953,0.17375487,4130.127797073052,7.120330349158344,16.648457,3651.0341494756053,29.312286599751395,16.445349,1343.3424372962827,16.16657181402129,16.941454,1.2092547,266.30560676542893,-21.995230055652,-0.496105,11.24386451677374,0.014466786883329946,0.01547722696721004,0.1493260942482475,1.1101546870168841,0.1463489212807549,1.0861588481605573,0.10942688323483526,1.1226599517190357,0.09512915643545064,1.1087935346936018,-14.455876762628332,7.660841953296558,-11.477481095032514,7.5838144028734025,-4.251951414984143,9.40087456682381,-1.7743311566258235,8.861781205109896,DA,WD 0652-563,WD 0652-563,null,E
WDJ082334.67-252514.95,5695218924757633152,125.8943209633131,-25.42093739911807,8.781110445619381,0.08919297263091153,-25.089307698281267,-27.195181868145767,0.4032361562998093,0.11850605,4086.490551589073,5.93912533632746,16.65999,3758.3930818843123,39.42928830732256,16.413883,1355.3951537545493,8.623590070054748,16.931755,1.2513888,246.0975724143649,6.822197860341455,-0.5178720000000006,11.377737197930692,0.012269529905511613,0.020314736543464634,0.13519508910251732,1.1763995012433615,0.13373384418224665,1.1435632467678687,nan,nan,nan,nan,4.46517296087277,-19.524950397862682,6.704681893181812,-19.388152717811316,9.659613764647776,-10.741862814390624,11.468769377252382,-11.13276420326896,DA,RX J0823.6-2525,WD 0821-252,yes,E
WDJ060755.76+341526.11,3452373568124842752,91.9822955088124,34.25727687725152,13.729458153465822,0.11454152319912246,-10.654367002128488,5.563184299966696,0.2866635575064137,0.20535919,3898.6827028136277,6.598162685608068,16.711071,3264.8934140354927,33.49223842575143,16.566715,1406.8771454719997,27.74640889558308,16.89128,1.1982946,177.75396903128683,6.769100331866011,-0.32456499999999977,12.39933798858605,0.022230368199138782,0.01668551255538194,0.44671045050823244,1.1881270156514507,0.5002620284962892,1.153988526165926,0.5459049608313618,1.2,nan,nan,-3.446309778977698,-2.3322007162692655,-3.6706994265277935,-2.3977467978939466,-15.868187381163944,5.859128612286124,-18.037502517777735,5.2290972192988825,CND,Gaia DR2 3452373568124842752,null,null,E
WDJ001149.34-502931.98,4973566051392029824,2.9554799778444414,-50.492375007607286,10.697226566652203,0.08298151387524833,-17.76985297594067,-37.05009301845632,0.38093611905218894,0.10676135,3822.6238278807023,4.463830455485206,16.732462,3330.4393178982996,17.5981740115496,16.545134,1351.7536924947517,5.772896697115161,16.934675,1.2248636,318.198533820651,-65.44535032573953,-0.3895409999999977,11.878817971170458,0.006794094244051819,0.015514584711879794,0.27150912939168714,1.1298596323933814,0.28162638828646247,1.098695850941147,0.22524148976424324,1.15229192748637,0.23523111344589137,1.1412593309306445,1.2764315049113766,18.214269896692606,1.7960321459379025,18.880721319362966,17.554005833699144,21.3064104022334,18.407195650303095,20.883706846968266,CND,Gaia DR2 4973566051392029824,null,null,E
WDJ121408.27-172440.91,3520974164461518592,183.5343332659786,-17.41186863790609,10.797717391205612,0.17403897335015744,-28.026966443200678,-117.0632424779501,0.5243869577622488,0.45490757,3801.230441218829,8.250758767377153,16.738556,3400.560422155425,49.30543918106745,16.522512,1342.4812957984002,11.59460425935149,16.94215,1.2477648,290.40143916502933,44.55044504467334,-0.4196380000000026,11.905215782444916,0.016876599849292472,0.03223625272724891,0.24918180559394937,1.1695826528028106,0.2628363381869639,1.1374955572514285,0.2277282054735468,1.1970670742572744,nan,nan,-1.6542396878021535,-52.963832417725136,0.033512682464857946,-53.46737860676597,12.838912963174248,-42.77509873539908,14.332273491474748,-42.99539611175873,DB,HE 1211-1707,WD 1211-171,yes,E
WDJ000358.79+433601.89,384841336150015360,0.9951572354858109,43.60045687739444,7.862285658033316,0.09863371066390242,35.76557990676895,-15.9528509345282,0.3331514361975003,0.13693024,3786.269658835402,5.474673381072063,16.742836,3497.036797718883,26.468304734264255,16.492138,1238.9028454530637,9.197302382203894,17.029327,1.2508194,113.90253846834503,-18.43769064499876,-0.5371889999999979,11.22058009430018,0.010601814678359057,0.025090340125997104,0.11068576951981163,1.1745934980870425,0.10306734978758311,1.1429363641813604,nan,nan,nan,nan,19.356718227421776,-13.634189701392783,22.31858451569113,-13.15770542164427,4.437937071055156,-4.9333632316919145,7.98196690010016,-4.956374620405734,null,null,null,null,E
WDJ005045.82-032655.47,2529337507976700928,12.690831936586942,-3.4488185869550843,12.683115352063076,0.11243266499771826,-23.83874908449762,-17.98028548345759,0.30364291939626387,0.21675216,3535.6006519462426,4.470676585624022,16.817207,3098.347691304007,17.413115190390517,16.623562,1267.4851245707953,8.365776607011867,17.004562,1.2348207,122.51276603776822,-66.32001956756324,-0.3810000000000002,12.333336711746863,0.00866889604033086,0.017729502866885082,0.3577190021811013,1.2208977569014332,0.4087080656534684,1.1841788783931895,nan,nan,nan,nan,-8.977983617753633,-6.68018559893487,-8.304736162789341,-6.22145280578013,-24.70382254855714,-0.016101273473729805,-24.443044777614567,1.6863902694307202,CND,Gaia DR2 2529337507976700928,null,null,E
WDJ183850.84-411333.59,6722639595190126208,279.7118320679213,-41.22621775666939,8.38304018077905,0.10158048422579906,0.557840164039102,-51.537849223495854,0.0,0.1780955,3509.831950126917,14.214444668663159,16.82515,3323.812183723293,48.621212314724744,16.547297,1175.239100835704,21.76791571987751,17.086605,1.2818424,354.05966266382234,-15.292928104603874,-0.5393079999999983,11.442157738910486,0.023601938096857285,0.02423476019086885,0.11334119828383016,1.2206903930742292,0.11452627801483291,1.186525896828292,nan,nan,nan,nan,-26.79912544557177,-11.657067449367528,-27.076828168936345,-11.366286578857688,-13.725142199489596,-2.3467826824084175,-14.268997930789032,-2.6635814699418154,null,null,null,null,E
WDJ154855.04+245112.94,1219699145026398848,237.22954924500795,24.853609945505593,13.489807792973867,0.09871787697319383,49.52805430477251,3.6857612492666703,0.32664292601987377,0.14919744,3500.579105823397,3.75394845828359,16.828016,2945.7071933507127,22.958366884512067,16.678413,1281.2561083655758,4.949569853034366,16.99283,1.207504,39.96635233548005,50.257566778375434,-0.3144170000000024,12.478044808757774,0.008698687194533754,0.014635920465021124,0.4978303277981217,1.196377129676292,0.5604804081522733,1.159686685297165,0.6142992853523795,1.2,nan,nan,5.259381668255603,-16.691231150894613,5.54728940505781,-16.282890151296534,7.390729294828523,-24.625332699254233,9.69979367764186,-25.337533930971034,DAH,SDSS J154855.07+245113.0,null,null,E
WDJ154315.11+302133.36,1273088783971336576,235.81262450918203,30.359593171848083,14.691486763157773,0.06856762748779266,-70.53580309978182,75.9008013850407,0.2595585392285456,0.1350556,3265.720006709402,4.175636222371845,16.903418,2606.728606067182,20.076958343806393,16.811148,1340.541246024445,8.985156162675219,16.94372,1.2086982,48.3226267400951,52.42283924663767,-0.1325719999999997,12.73874674081734,0.010210078769195371,0.009334334719579437,1.042062102031601,1.1102559438796413,1.0391333621060865,1.082107756353381,1.0500677743279592,1.0397636118666462,1.0991239097335654,1.0344085904075762,22.017224085056142,25.280796784645904,22.452738465253073,25.684364595619115,21.78054030983614,16.64946634112581,25.152637079251264,14.72984211654813,CND,Gaia DR2 1273088783971336576,null,null,E
WDJ025627.73-151533.16,5154220209880074752,44.11563424165644,-15.259285209506091,11.855468851969935,0.11014217036168171,23.41716008529387,-16.922578343998826,0.29961129106042567,0.16407874,3082.1590234898845,5.759459119296235,16.966228,2695.5644248755707,24.82016055356044,16.774763,1128.388661460298,21.314705751581233,17.130774,1.2406735,197.1132166495973,-58.64925603568614,-0.35601099999999875,12.33582166917416,0.021014201628744594,0.018580820672204828,0.38246819159888157,1.2025258746692735,0.4295739580368752,1.1680377067433374,nan,nan,nan,nan,10.347275952843777,5.2077753313576585,10.235358505890858,5.108089210827877,2.1154427446832624,-3.143939140878608,0.27948927575779337,-3.510300567027681,CND,Gaia DR2 5154220209880074752,null,null,E
WDJ144038.60-195156.27,6281684373876096512,220.16042433529182,-19.8658328033403,14.338312992465445,0.11179772357138114,-84.80247129916086,-46.811812849478876,0.22812490962518872,0.1801093,3031.28801768083,6.6988071881119655,16.984297,2466.868417896801,26.353407780698507,16.871023,1236.6077338670755,11.7032100119939,17.03134,1.22175,335.1881856785879,36.07454402134622,-0.16031699999999915,12.766787282055425,0.014272063955679384,0.015594264629336668,0.98407959444405,1.138690408508503,1.0190634772271645,1.0992121045460654,1.0242416885972077,1.0737650179443448,1.1104491716505847,1.06342864545862,-32.10193206042906,0.8043939083795508,-31.8524184911851,0.23916696907520918,-16.593608618064046,3.548040541973095,-13.108760302317668,3.7837978093038194,CND,Gaia DR2 6281684373876096512,null,null,E
WDJ153757.49+841939.17,1724098901677145984,234.48668035691577,84.32788409485053,11.597693722310906,0.06515321017021325,-66.11361178960689,78.02738755316678,0.23919410498365345,0.11568394,2938.3787953798956,4.426999277807231,17.018097,2607.3205501121965,23.67602939934048,16.810902,1060.0352274473837,8.12530451069387,17.19862,1.2480881,118.52516292830927,31.298823200416912,-0.38771799999999956,12.33995517749009,0.011883241453900333,0.011235545916318802,0.35213389142211327,1.22713721273528,0.4056628843323679,1.1901114775283197,nan,nan,nan,nan,41.69045843907925,-4.34119419823458,43.37814870786403,-4.892291961193108,26.295240220307722,-1.1082259207968161,27.68808409037434,-2.9123028993882683,CND,Gaia DR2 1724098901677145984,null,null,E
WDJ203940.01+523255.87,2180849393500755456,309.9166276465006,52.54874692388458,9.743834073107834,0.07353251819399018,-10.761058443218925,-24.459480972488713,0.22567446057498272,0.15676914,2837.2502194888457,4.03389572222908,17.056122,2437.230507477456,12.497001980140514,16.884146,1011.1195275862561,9.819314030890174,17.249914,1.2153845,89.89344806530265,6.650725403738304,-0.3657679999999992,11.999771398946448,0.010981875604509245,0.015093138418055325,0.30999307179286567,1.1348088853250364,0.32433350849237946,1.102853167185545,0.2935090263631484,1.1565407826459824,0.32597981868947556,1.1456566259452536,-12.685263118688143,-3.0028220918905832,-9.913763348844439,-3.0033311258762203,-23.66292792524266,2.557906687028568,-20.389330569852905,1.9301837160225879,null,null,null,null,E
WDJ023056.10+384219.15,334723160910027136,37.733577552838604,38.705313936889105,10.654685636465462,0.1179145742880915,-34.258544250917076,-1.2437056979125838,0.3160156166643159,0.22946408,2801.6111083955857,5.336156344665816,17.069845,2493.2183462460985,40.15835860808296,16.859488,1007.2846576202891,9.862819189719419,17.25404,1.2494607,143.40155818298274,-20.179401909767304,-0.3945520000000009,12.207548202507121,0.018849666503172303,0.022133843890153094,0.3140291189700159,1.2085009353043963,0.35076985201640587,1.1742859874079312,nan,nan,nan,nan,-13.794183122831715,-6.604446907360757,-12.865634912862525,-6.030949783879574,-29.986420856241377,-0.6125347229965727,-29.77625187531202,-0.1094751753897191,CND,Gaia DR2 334723160910027136,null,null,E
